ID,hospital/non-hospital,public/private,urban/rural,GW1,GW2,GW3,GS1,GS2,GS3,GS4,GS5,GS6,GH1,GH2,GWM1,WGM2,GWM3,GC1,GC2
285,Non-Hospital,Private,Urban,Piped Supply inside the building ,On premises,Yes,Flush/Pour-flush toilet to tank or pit,Yes,Yes,Yes,Yes,No,"No, there are hand hygiene facilities at points of care but not functional, or lacking soap and water or alcohol based hand rub","No, no handwashing facilities near toilets (within 5 meters)","No, bins are not present ",Open burning ,Open burning ,No,"Yes, all have been trained"
286,Non-Hospital,Private,Urban,Piped Supply inside the building ,On premises,Yes,Flush/Pour-flush toilet to tank or pit,Yes,No,No,No,No,"No, there are hand hygiene facilities at points of care but not functional, or lacking soap and water or alcohol based hand rub","No, no handwashing facilities near toilets (within 5 meters)","No, bins are not present ",Incinerated (other),Incinerated (other),No,"No, none have been trained"
287,Non-Hospital,Private,Urban,Piped Supply inside the building ,On premises,Yes,Flush/Pour-flush toilet to tank or pit,Yes,Yes,Yes,No,No,"No, there are hand hygiene facilities at points of care but not functional, or lacking soap and water or alcohol based hand rub",Yes,"No, bins are not present ",Incinerated (other),Open burning ,No,"No, some but not all have been trained"
288,Hospital,Public,Urban,Protected dug well,On premises,Yes,Flush/Pour-flush toilet to tank or pit,Yes,Yes,Yes,No,No,Yes,Yes,"Yes, waste is segregated  into three labelled bins",Incinerated (other),Incinerated (other),Yes,"Yes, all have been trained"
289,Non-Hospital,Private,Urban,Piped Supply inside the building ,On premises,Yes,Flush/Pour-flush toilet to tank or pit,Yes,Yes,Yes,Yes,No,Yes,Yes,"Yes, waste is segregated  into three labelled bins",Incinerated (other),Incinerated (other),Yes,"No, none have been trained"
290,Non-Hospital,Private,Rural,Protected dug well,Up to 500 m,Yes,pit latrine with slab,Yes,Yes,No,No,No,"No, there are hand hygiene facilities at points of care but not functional, or lacking soap and water or alcohol based hand rub","No, no handwashing facilities near toilets (within 5 meters)","No, bins are not present ",Open burning ,Open burning ,No,"No, some but not all have been trained"
291,Non-Hospital,Private,Urban,Protected dug well,On premises,Yes,pit latrine with slab,Yes,Yes,No,Yes,No,"No, there are hand hygiene facilities at points of care but not functional, or lacking soap and water or alcohol based hand rub","No, no handwashing facilities near toilets (within 5 meters)","No, bins are not present ",Burning in a protected pit,Burning in a protected pit,No,"No, none have been trained"
292,Hospital,Private,Rural,Protected dug well,On premises,Yes,Flush/Pour-flush toilet to tank or pit,Yes,No,Yes,No,No,Yes,"No, there are handwashing facilities near the toilets but lacking soap and /or water","No, bins are not present ",Incinerated (other),Incinerated (other),No,"No, none have been trained"
293,Hospital,Private,Urban,Protected dug well,On premises,Yes,Flush/Pour-flush toilet to tank or pit,Yes,Yes,Yes,No,No,Yes,Yes,"Yes, waste is segregated  into three labelled bins",Incinerated (other),Incinerated (other),Yes,"Yes, all have been trained"
294,Hospital,Public,Urban,Piped Supply inside the building ,Up to 500 m,Yes,Flush/Pour-flush toilet to tank or pit,Yes,No,No,No,No,"No, there are hand hygiene facilities at points of care but not functional, or lacking soap and water or alcohol based hand rub","No, there are handwashing facilities near the toilets but lacking soap and /or water","No, bins are present but do not meet all requirements or waste is not correctly segregated",Incinerated (other),Incinerated (other),Yes,"Yes, all have been trained"
295,Non-Hospital,Public,Urban,Piped Supply inside the building ,On premises,Yes,Flush/Pour-flush toilet to tank or pit,Yes,No,No,No,No,"No, there are hand hygiene facilities at points of care but not functional, or lacking soap and water or alcohol based hand rub",Yes,"No, bins are not present ",Other,Other,No,"No, none have been trained"
296,Hospital,Private,Urban,No water source or patients bring water from home,Up to 500 m,Yes,pit latrine with slab,Yes,Yes,Yes,No,No,"No, no hand hygiene facilities at points of care","No, there are handwashing facilities near the toilets but lacking soap and /or water","Yes, waste is segregated  into three labelled bins",Burning in a protected pit,Burning in a protected pit,Yes,"Yes, all have been trained"
297,Hospital,Private,Urban,Piped Supply inside the building ,Up to 500 m,Yes,pit latrine with slab,Yes,No,Yes,No,No,Yes,Yes,"Yes, waste is segregated  into three labelled bins",Incinerated (other),Other,Yes,"Yes, all have been trained"
298,Hospital,Public,Urban,Piped Supply inside the building ,On premises,Yes,Flush/Pour-flush toilet to tank or pit,Yes,Yes,Yes,Yes,yes,Yes,Yes,"No, bins are not present ",Incinerated (other),Incinerated (other),Yes,"No, some but not all have been trained"
299,Hospital,Private,Urban,Piped Supply inside the building ,Up to 500 m,Yes,pit latrine with slab,Yes,Yes,Yes,Yes,No,Yes,Yes,"Yes, waste is segregated  into three labelled bins",Burning in a protected pit,Burning in a protected pit,Yes,"Yes, all have been trained"
300,Non-Hospital,Private,Urban,Tanker truck,On premises,Yes,pit latrine with slab,Yes,No,Yes,No,No,Yes,Yes,"No, bins are present but do not meet all requirements or waste is not correctly segregated",Incinerated (other),Burning in a protected pit,Yes,"No, some but not all have been trained"
301,Hospital,Public,Urban,Piped Supply inside the building ,500 m or further,Yes,Flush/Pour-flush toilet to tank or pit,Yes,Yes,Yes,No,No,Yes,Yes,"Yes, waste is segregated  into three labelled bins",Incinerated (other),Incinerated (other),No,"No, some but not all have been trained"
302,Hospital,Private,Urban,Tube well/Borehole,Up to 500 m,Yes,pit latrine with slab,Yes,No,Yes,No,No,Yes,"No, there are handwashing facilities near the toilets but lacking soap and /or water","No, bins are present but do not meet all requirements or waste is not correctly segregated",Not treated and added to general waste,Not treated and added to general waste,No,"No, there are no staff responsible for cleaning "
303,Non-Hospital,Public,Rural,Piped Supply inside the building ,500 m or further,Yes,Pit latrine with slab,Yes,Yes,Yes,No,No,Yes,Yes,"Yes, waste is segregated  into three labelled bins",Incinerated (other),Incinerated (other),Yes,"No, some but not all have been trained"
304,Hospital,Public,Rural,Unprotected dug well,On premises,Yes,pit latrine with slab,No,No,Yes,No,No,"No, no hand hygiene facilities at points of care","No, no handwashing facilities near toilets (within 5 meters)","No, bins are not present ",Burning in a protected pit,Burning in a protected pit,No,"No, some but not all have been trained"
305,Non-Hospital,Private,Urban,Piped Supply inside the building ,On premises,Yes,Pit latrine with slab,Yes,Yes,Yes,Yes,yes,Yes,Yes,"Yes, waste is segregated  into three labelled bins",Incinerated (other),Incinerated (other),Yes,"Yes, all have been trained"
306,Non-Hospital,Public,Urban,Piped Supply inside the building ,On premises,Yes,other,Yes,No,No,No,yes,"No, no hand hygiene facilities at points of care","No, there are handwashing facilities near the toilets but lacking soap and /or water","No, bins are not present ",Burning in a protected pit,Burning in a protected pit,No,"No, some but not all have been trained"
307,Hospital,Public,Urban,Piped Supply inside the building ,Up to 500 m,Yes,pit latrine with slab,Yes,Yes,Yes,No,No,"No, there are hand hygiene facilities at points of care but not functional, or lacking soap and water or alcohol based hand rub","No, there are handwashing facilities near the toilets but lacking soap and /or water","Yes, waste is segregated  into three labelled bins",Incinerated (other),Incinerated (other),No,"No, some but not all have been trained"
